address,country,lat,long,
ASTRID MEADOWS,Singapore,1.318503,103.794859,
ASTRIDVILLE,Singapore,1.352083,103.819836,
ATELIER VILLAS,Singapore,1.381513,103.833174,
ATHENA VILLE,Singapore,1.312419,103.89457,
ATRIUM RESIDENCES,Singapore,1.313311,103.885895,
ATTITUDE AT KIM YAM,Singapore,1.295515,103.838971,
AURA 83,Singapore,1.310459,103.906406,
AURALIS,Singapore,1.309781,103.916033,
AUSTVILLE RESIDENCES,Singapore,1.381059,103.901039,
AVA TOWERS,Singapore,1.32225,103.851772,
AVALON,Singapore,1.312798,103.828962,
AVANT AT ALJUNIED,Singapore,1.313576,103.882135,
AVANT RESIDENCES,Singapore,1.313576,103.882135,
AVENUE VILLAS,Singapore,1.327539,103.795112,
AVILA GARDENS,Singapore,1.360896,103.965951,
AVILA TERRACE,Singapore,1.359912,103.968981,
AVON PARK,Singapore,1.339256,103.869375,
AXIS @ SIGLAP,Singapore,1.311807,103.92391,
AZALEA PARK CONDOMINIUM,Singapore,1.360438,103.962755,
BAGNALL COURT,Singapore,1.32006,103.954944,
BALCON EAST,Singapore,1.314846,103.942283,
BALESTIER 288,Singapore,1.32298,103.852885,
BALESTIER PLAZA,Singapore,1.321495,103.852859,
BALESTIER POINT,Singapore,1.321495,103.852859,
BALLOTA PARK CONDOMINIUM,Singapore,1.358044,103.968535,
BALMORAL 8,Singapore,1.314694,103.832202,
BALMORAL CREST,Singapore,1.3163,103.834453,
BALMORAL GARDENS,Singapore,1.315292,103.832672,
BALMORAL GATE,Singapore,1.316998,103.834541,
BALMORAL HEIGHTS,Singapore,1.314915,103.834778,
BALMORAL HILLS,Singapore,1.316097,103.827934,
BALMORAL MANSIONS,Singapore,1.315292,103.832672,
BALMORAL PLACE,Singapore,1.316657,103.834922,
BALMORAL PLAZA,Singapore,1.316462,103.835754,
BALMORAL POINT,Singapore,1.315292,103.832672,
BALMORAL RESIDENCES,Singapore,1.315559,103.834951,
BALMORAL TOWER,Singapore,1.316627,103.833817,
BALMY COURT,Singapore,1.352083,103.819836,
BAN GUAN PARK,Singapore,1.319502,103.827377,
BANYAN CONDOMINIUM,Singapore,1.278025,103.788347,
BANYAN PARK,Singapore,1.27882,103.78914,
BANYAN VILLAS,Singapore,1.388289,103.838717,
BAODE BUILDING,Singapore,1.314984,103.888708,
BARKER 9,Singapore,1.319978,103.833808,
BARKER TERRACES,Singapore,1.32147,103.835658,
BARKER VILLE,Singapore,1.31955,103.836385,
BAROSSA GARDENS,Singapore,1.281281,103.784119,
BARTLEY RESIDENCES,Singapore,1.343123,103.881518,
BARTLEY RIDGE,Singapore,1.340909,103.881129,
BARTLEY RISE ESTATE,Singapore,1.343942,103.875726,
BARTLEY VILLAS,Singapore,1.344994,103.878129,
BASSEIN COURT,Singapore,1.322764,103.848305,
BAYOU RESIDENCE,Singapore,1.346363,103.880255,
BAYSHORE PARK,Singapore,1.313209,103.940388,
BAYSHORE TERRACE,Singapore,1.313209,103.940388,
BAYVILLE CONDOMINIUM,Singapore,1.281496,103.787445,
BAYWATER,Singapore,1.337562,103.9323,
BEACH ROAD CONSERVATION AREA,Singapore,1.299159,103.858933,
BEACON HEIGHTS,Singapore,1.326735,103.862089,
BEAUFORT ON NASSIM,Singapore,1.308563,103.824731,
BEAUTY WORLD CENTRE,Singapore,1.342479,103.776551,
BEAUTY WORLD PLAZA,Singapore,1.342479,103.776551,
BEAVERTON COURT,Singapore,1.316059,103.776124,
BEDOK COURT,Singapore,1.321944,103.945207,
BEDOK GROVE,Singapore,1.325431,103.953519,
BEDOK PARK,Singapore,1.341303,103.92455,
BEDOK PESARI,Singapore,1.324272,103.954505,
BEDOK RESIDENCES,Singapore,1.325105,103.929255,
BEDOK RIA,Singapore,1.326854,103.953195,
BEDOK SHOPPING COMPLEX,Singapore,1.331443,103.948226,
BEDOKVILLE,Singapore,1.352083,103.819836,
BEECHWOOD TERRACE,Singapore,1.426712,103.777934,
BELGRAVIA PARK,Singapore,1.382336,103.869345,
BELGRAVIA VILLAS,Singapore,1.379646,103.864843,
BELLA CASITA,Singapore,1.311694,103.894765,
BELLA VISTA,Singapore,1.344064,103.870308,
BELLAVILLE,Singapore,1.330101,103.871526,
BELLE VUE RESIDENCES,Singapore,1.296284,103.842335,
BELLERIVE,Singapore,1.317115,103.830578,
BELLEWOODS,Singapore,1.43288,103.800696,
BELLEZZA @ KATONG,Singapore,1.30691,103.902071,
BELMOND GREEN,Singapore,1.31519,103.832112,
BELMONDO VIEW,Singapore,1.293047,103.858696,
BELYSA,Singapore,1.374112,103.941726,
BENA PARK,Singapore,1.353468,103.968996,
BENCOOLEN HOUSE,Singapore,1.29881,103.849888,
BENDIGO GARDENS,Singapore,-36.726049,144.313822,x
BENG TONG MANSION,Singapore,1.308412,103.895121,
BERKELEY RESIDENCES,Singapore,1.304569,103.862728,
BETA GROVE,Singapore,1.31393,103.910748,
BEVERLY HILL,Singapore,1.298432,103.825579,
BIN TONG PARK,Singapore,1.319644,103.798231,
BINJAI CREST,Singapore,1.34393,103.788674,
BINJAI PARK,Singapore,1.339132,103.787774,
BIRCHWOOD MANSIONS,Singapore,1.352083,103.819836,
BIRMINGHAM MANSIONS,Singapore,1.317722,103.844904,
BISHAN 8,Singapore,1.349178,103.846762,
BISHAN LOFT,Singapore,1.34725,103.852445,
BISHAN PARK CONDOMINIUM,Singapore,1.366006,103.831983,
BISHAN POINT,Singapore,1.35975,103.832622,
BISHOPSGATE RESIDENCES,Singapore,1.298538,103.824511,
BLAIR PLAIN CONSERVATION AREA,Singapore,1.276904,103.836922,
BLEU @ EAST COAST,Singapore,1.315778,103.945214,
BLISS LOFT,Singapore,1.323408,103.852937,
BLISS REGALIA,Singapore,1.316196,103.85423,
BLISS RESIDENCES,Singapore,1.319716,103.912746,
BLISS VILLE,Singapore,1.324663,103.909683,
BLISS@KOVAN,Singapore,1.362904,103.883724,
BLISSFUL VIEW,Singapore,1.309582,103.802753,
BLOSSOM MANSIONS,Singapore,1.352083,103.819836,
BLOSSOM RESIDENCES,Singapore,1.389389,103.769691,
BLOSSOM VIEW,Singapore,1.352083,103.819836,
BLOSSOMS @ WOODLEIGH,Singapore,1.336254,103.868864,
BLU CORAL,Singapore,1.312797,103.914415,
BLUE HORIZON,Singapore,1.297423,103.765214,
BLUWATERS,Singapore,1.379799,103.963049,
BLUWATERS 2,Singapore,1.379909,103.963909,
BLUWEL APARTMENTS,Singapore,1.312978,103.887082,
BOATHOUSE RESIDENCES,Singapore,1.375706,103.902979,
BOON COURT,Singapore,1.315549,103.905502,
BOON TECK LODGE,Singapore,1.327674,103.850796,
BOON TECK TOWERS,Singapore,1.32785,103.850111,
BOONVIEW,Singapore,1.351673,103.841284,
BOTANIC GARDENS MANSION,Singapore,1.307905,103.819216,
BOTANIC GARDENS VIEW,Singapore,1.308593,103.819211,
BOTANIC LODGE,Singapore,1.311435,103.818148,
BOTANIKA,Singapore,1.309859,103.808127,
BOTANNIA,Singapore,1.318605,103.754288,
BOUGAINVILLA APARTMENTS,Singapore,1.313573,103.879557,
BOULEVARD VUE,Singapore,1.303331,103.828986,
BOURNEMOUTH EIGHT,Singapore,1.301964,103.893508,
BOUTIQUE @ KOVAN,Singapore,1.357645,103.88379,
BOWMONT CENTRE,Singapore,1.315651,103.919242,
BRADDELL HEIGHTS ESTATE,Singapore,1.343471,103.854784,
BRADDELL VIEW,Singapore,1.34209,103.841065,
BREEZE BY THE EAST,Singapore,1.314148,103.937461,
BREEZEWAYS,Singapore,1.352083,103.819836,
BREEZY MANSIONS,Singapore,1.352083,103.819836,
BRENTWOOD,Singapore,1.297206,103.83998,
BRIGHTON CREST,Singapore,1.360945,103.869065,
BRIGHTON VIEW,Singapore,1.360884,103.872641,
BRISTOL LODGE,Singapore,1.297597,103.844948,
BRIZAY PARK,Singapore,1.331086,103.787511,
BROOKVALE PARK,Singapore,1.330625,103.767271,
BUCKLEY 18,Singapore,1.318175,103.840777,
BUCKLEY CLASSIQUE,Singapore,1.318089,103.840234,
BUCKLEY RESIDENCE,Singapore,1.317244,103.840417,
BUKIT LOYANG ESTATE,Singapore,1.383286,103.974481,
BUKIT PASOH CONSERVATION AREA,Singapore,1.281574,103.847613,
BUKIT PASOH EXTNSN CONSTN AREA,Singapore,1.279204,103.840672,
BUKIT REGENCY,Singapore,1.346855,103.770902,
BUKIT VILLAS,Singapore,1.416438,103.754764,
BULLION PARK,Singapore,1.390797,103.837097,
BUONA LODGE,Singapore,1.282074,103.786791,
BUONA VISTA GARDENS,Singapore,1.282499,103.786937,
BURGUNDY HILL,Singapore,1.339154,103.760438,
BURLINGTON SQUARE,Singapore,1.302261,103.85263,
BUTTERWORTH 33,Singapore,1.312632,103.895665,
BUTTERWORTH 8,Singapore,1.312375,103.895073,
BUTTERWORTH VIEW,Singapore,1.312537,103.895177,
CABANA,Singapore,1.388324,103.854903,
CACTUS BLOOM,Singapore,1.391065,103.85144,
CACTUS GREEN,Singapore,1.273208,103.843634,
CADENCE LIGHT,Singapore,1.312321,103.910915,
CAIRNHILL ASTORIA,Singapore,1.30704,103.839357,
CAIRNHILL CONSERVATION AREA,Singapore,1.306716,103.837329,
CAIRNHILL CREST,Singapore,1.305288,103.838422,
CAIRNHILL HEIGHTS,Singapore,1.308572,103.837957,
CAIRNHILL MANSIONS,Singapore,1.305254,103.837486,
CAIRNHILL NINE,Singapore,1.303817,103.837257,
CAIRNHILL PLAZA,Singapore,1.306716,103.837329,
CAIRNHILL RESIDENCES,Singapore,1.307695,103.838921,
CALARASI,Singapore,1.323709,103.854326,
CALDECOTT HILL ESTATE,Singapore,1.337595,103.839606,
CALLIDORA VILLE,Singapore,1.309485,103.909773,
CAMBIO SUITES,Singapore,1.355041,103.876289,
CAMBRIDGE VILLAGE,Singapore,1.314969,103.84855,
CAMDEN PARK,Singapore,1.328656,103.81579,
CAMELIA PARK,Singapore,1.352083,103.819836,
CAMELLIA LODGE,Singapore,1.315383,103.886608,
CAMELOT,Singapore,1.297625,103.875418,
CAMWOOD PARK,Singapore,1.352083,103.819836,
CANARY PARK,Singapore,1.333,103.946783,
CANARY VILLE,Singapore,1.31478,103.914415,
CANBERLIN APARTMENTS,Singapore,1.310774,103.87985,
CANBERLIN LODGE,Singapore,1.309344,103.877019,
CANBERRA RESIDENCES,Singapore,1.444808,103.824887,
CANDEVILLE,Singapore,1.310734,103.910873,
CANNAVILLE,Singapore,1.309321,103.905287,
CANNE LODGE,Singapore,1.314248,103.873327,
CANNE VILLE,Singapore,1.311929,103.874475,
CANTIZ @ RAMBAI,Singapore,1.310702,103.905565,
CAPE ROYALE,Singapore,1.241711,103.840022,
CAPITOL PARK,Singapore,1.327823,103.818502,
CARABELLE,Singapore,1.317557,103.756492,
CARDIFF RESIDENCE,Singapore,1.355078,103.865876,
CARIBBEAN AT KEPPEL BAY,Singapore,1.267402,103.816767,
CARISSA PARK CONDOMINIUM,Singapore,1.359104,103.963642,
CARLYX GREEN,Singapore,1.313164,103.847825,
CARLYX RESIDENCE,Singapore,1.31336,103.84788,
CARMI MANSIONS,Singapore,1.315625,103.887782,
CARMINE COLLECTION,Singapore,1.352083,103.819836,
CASA AERATA,Singapore,1.312339,103.88505,
CASA AROMA,Singapore,1.313616,103.906103,
CASA CAIRNHILL,Singapore,1.308708,103.839544,
CASA CAMBIO,Singapore,1.353863,103.87632,
CASA CONTENDERE,Singapore,1.317735,103.838802,
CASA EMERALD,Singapore,1.311924,103.886988,
CASA ESPANIA,Singapore,1.344666,103.875396,
CASA ESPERANZA,Singapore,1.334593,103.783331,
CASA FELIZ,Singapore,1.352083,103.819836,
CASA FLORA,Singapore,1.321419,103.950406,
CASA FORTUNA,Singapore,1.32863,103.848092,
CASA IRRAWADDY,Singapore,1.324951,103.84603,
CASA JERVOIS,Singapore,1.294712,103.819,
CASA MELWANI,Singapore,1.316148,103.842139,
CASA MERAH,Singapore,1.329102,103.946189,
CASA MEYA,Singapore,1.331231,103.866797,
CASA MEYFORT,Singapore,1.296434,103.89105,
CASA NALLUR,Singapore,1.31231,103.932184,
CASA NASSAU,Singapore,1.313615,103.9389,
CASA NOVACREST,Singapore,1.309392,103.838047,
CASA PASIR RIS,Singapore,1.379738,103.963662,
CASA PERLA,Singapore,1.352083,103.819836,
CASA RIVIERA,Singapore,1.35473,103.875389,
CASA ROSA,Singapore,1.346088,103.879356,
CASA SARINA,Singapore,1.320486,103.907093,
CASA SERENO,Singapore,1.320486,103.907093,
CASA SOPHIA,Singapore,1.302673,103.846327,
CASA UNO,Singapore,1.300188,103.837331,
CASABELLA,Singapore,1.324039,103.799669,
CASABLANCA,Singapore,1.430554,103.786575,
CASAFINA,Singapore,1.315177,103.933579,
CASCADALE,Singapore,1.345994,103.96305,
CASCATA,Singapore,1.328468,103.908645,
CASERO @ DUNMAN,Singapore,1.309646,103.893794,
CASHEW ESTATE,Singapore,1.371268,103.765836,
CASHEW GARDEN,Singapore,1.370923,103.768793,
CASHEW HEIGHTS CONDOMINIUM,Singapore,1.373055,103.768236,
CASHEW HILL,Singapore,1.371852,103.767771,
CASHEW PARK CONDOMINIUM,Singapore,1.371371,103.767659,
CASHEW VILLAS,Singapore,1.371445,103.769457,
CASPIAN,Singapore,1.342861,103.717972,
CASSIA EDGE,Singapore,1.31164,103.885789,
CASSIA VIEW,Singapore,1.31097,103.886615,
CASTELLO,Singapore,1.352083,103.819836,
CASTLE GREEN,Singapore,1.386205,103.840931,
CASTLE LOFT,Singapore,1.313784,103.914705,
CASUARINA COVE,Singapore,1.297579,103.874698,
CATHAY GARDEN,Singapore,1.301555,103.83666,
CAVAN SUITES,Singapore,1.310927,103.861407,
CAVENAGH COURT,Singapore,1.309272,103.843405,
CAVENAGH FORTUNA,Singapore,1.308078,103.842103,
CAVENAGH GARDENS,Singapore,1.30559,103.840837,
CAVENAGH HOUSE,Singapore,1.307624,103.840606,
CAVENAGH LODGE,Singapore,1.306258,103.840786,
CAVENDISH PARK,Singapore,1.316832,103.775445,
CELADON VIEW,Singapore,1.378369,103.956555,
CELESTIA,Singapore,1.314995,103.904425,
CENTENNIA SUITES,Singapore,1.293186,103.833385,
CENTRA HEIGHTS,Singapore,1.316309,103.886578,
CENTRA LOFT,Singapore,1.314829,103.888424,
CENTRA RESIDENCE,Singapore,1.312816,103.876023,
CENTRA STUDIOS,Singapore,1.314307,103.882388,
CENTRA SUITES,Singapore,1.314705,103.883257,
CENTRAL GREEN CONDOMINIUM,Singapore,1.284591,103.827672,
CENTRAL GROVE,Singapore,1.315987,103.884424,
CENTRAL IMPERIAL,Singapore,1.311857,103.879248,
CENTRAL MEADOWS,Singapore,1.422217,103.835803,
CENTRAL VIEW,Singapore,1.353174,103.878379,
CENTREPOINT,Singapore,1.302155,103.839758,
CENTRO MANSIONS,Singapore,1.313263,103.886749,
CENTRO RESIDENCES,Singapore,1.370537,103.848709,
CENTURION 12,Singapore,1.355516,103.83329,
CENTURION RESIDENCES,Singapore,1.330447,103.870413,
CENTURY MANSIONS,Singapore,1.357485,103.762048,
CENTURY WOODS,Singapore,1.427614,103.776124,
CERELIA VISTA,Singapore,1.350456,103.882462,
CEYLON CREST,Singapore,1.306093,103.902611,
CEYLON POINT,Singapore,1.309049,103.900056,
CEYLON RESIDENCE,Singapore,1.309049,103.900056,
CHANCERY CORNER,Singapore,1.319894,103.837951,
CHANCERY COURT,Singapore,1.319894,103.837951,
CHANCERY ESQUIRE,Singapore,1.31788,103.836342,
CHANCERY GROVE,Singapore,1.322476,103.837129,
CHANCERY HILL VILLAS,Singapore,1.325014,103.838848,
CHANCERY LODGE,Singapore,1.323624,103.841601,
CHANCERY PARK,Singapore,1.31921,103.837081,
CHANGI COURT,Singapore,1.343455,103.962987,
CHANGI GARDEN,Singapore,1.361149,103.970399,
CHANGI GREEN,Singapore,1.344681,103.963857,
CHANGI GROVE,Singapore,1.318273,103.908584,
CHANGI HEIGHTS,Singapore,1.362839,103.972043,
CHANGI RISE CONDOMINIUM,Singapore,1.348812,103.960611,
CHANTILLY RISE,Singapore,1.3594,103.76292,
CHAPEL COURT,Singapore,1.305469,103.907285,
CHAPEL LODGE,Singapore,1.308741,103.906107,
CHARISMA VIEW,Singapore,1.344836,103.768529,
CHARLESTON,Singapore,1.295103,103.827804,
CHARLTON 27,Singapore,1.355094,103.881622,
CHARLTON CORNER,Singapore,1.355733,103.881391,
CHARLTON PARK,Singapore,1.35641,103.885469,
CHARLTON RESIDENCES,Singapore,1.355733,103.881391,
CHARLTON VILLAS,Singapore,1.355721,103.882059,
CHARMING GARDEN,Singapore,1.316663,103.803309,
CHATEAU LA SALLE,Singapore,1.30291,103.851595,
CHATEAU LE FAME,Singapore,1.316668,103.829365,
CHATELET,Singapore,1.319773,103.824234,
CHELSEA GARDENS,Singapore,1.313222,103.827512,
CHELSEA GROVE,Singapore,1.324023,103.851215,
CHELSEA LODGE,Singapore,1.305072,103.896082,
CHELSEA VILLAGE,Singapore,1.355379,103.867744,
CHEN FANG MANSIONS,Singapore,1.31537,103.88777,
CHENG SOON GARDEN,Singapore,1.334615,103.772333,
CHEPSTOW VILLE,Singapore,1.363351,103.872161,
CHERRY GARDENS,Singapore,1.290731,103.858274,
CHERRYHILL,Singapore,1.349766,103.878643,
CHESTER PARK,Singapore,1.371236,103.779544,
CHESTERVALE,Singapore,1.378516,103.774567,
CHESTNUT GARDENS,Singapore,1.369193,103.768562,
CHESTNUT VILLE,Singapore,1.367569,103.76945,
CHIANG'S COURT,Singapore,1.312946,103.928787,
CHIKU MANSIONS,Singapore,1.314137,103.9056,
CHILTERN PARK,Singapore,1.350052,103.863938,
CHINATOWN PLAZA,Singapore,1.278682,103.84187,
CHIP BEE GARDENS,Singapore,1.310805,103.796499,
CHIP HOCK GARDENS,Singapore,1.361617,103.851114,
CHIP THYE GARDEN,Singapore,1.381006,103.838364,
CHIVERTON,Singapore,1.317297,103.829206,
CHNG MANSIONS,Singapore,1.298625,103.887624,
CHOON KIM HOUSE,Singapore,1.354501,103.879053,
CHOON MOEY MANSIONS,Singapore,1.315829,103.886729,
CHOON SING GARDEN,Singapore,1.363484,103.865693,
CHUAN GARDEN,Singapore,1.362488,103.86839,
CHUAN PARK,Singapore,1.352975,103.864643,
CHUAN SEVEN,Singapore,1.360102,103.866974,
CHUAN TERRACE,Singapore,1.362002,103.867672,
CHUAN VILLAS,Singapore,1.349223,103.861195,
CHUAN VISTA,Singapore,1.36039,103.866873,
CHUAN YUAN,Singapore,1.28478,103.842482,
CHUN TIN COURT,Singapore,1.341927,103.773867,
CHUNG CHIN FLATS,Singapore,1.352083,103.819836,
CHWEE CHIAN VIEW,Singapore,1.279809,103.788216,
CITIGATE RESIDENCE,Singapore,1.352083,103.819836,
CITY EDGE,Singapore,1.31957,103.846593,
CITY LOFT,Singapore,1.314768,103.856664,
CITY PLAZA,Singapore,1.314816,103.893404,
CITY REGENCY,Singapore,1.326222,103.863635,
